	Name	Rating	Reviews	Company Detais	Salaries	Interviews	Jobs
41	iResearch Services	3.2	70 Reviews	Analytics & KPO | 51-200 Employees | 15 years old | London +1 more	513 Salaries	2 Interviews	4 Jobs
42	Shyam Ferro Alloys	4.3	70 Reviews	Iron & Steel | 1k-5k Employees | Public | 28 years old | Kolkata +5 more	368 Salaries	7 Interviews	-- Jobs
43	Pavna Group of Industries	3.4	70 Reviews	51-200 Employees | Aligarh +3 more	396 Salaries	4 Interviews	-- Jobs
44	Karle Infra	3.8	70 Reviews	Real Estate | 201-500 Employees | 12 years old | Bangalore/Bengaluru +1 more	437 Salaries	6 Interviews	-- Jobs
45	Nuvento Systems	3.9	70 Reviews	IT Services & Consulting | 201-500 Employees | 16 years old | Cranbery +6 more	466 Salaries	7 Interviews	96 Jobs
46	Agrawal Metal Works	3.9	70 Reviews	Metals & Mining | 501-1k Employees | 67 years old | New Delhi +6 more	453 Salaries	6 Interviews	-- Jobs
47	Oil Field Instrumentation	2.8	70 Reviews	Oil & Gas | 501-1k Employees | 31 years old | Mumbai +9 more	255 Salaries	4 Interviews	-- Jobs
48	FIT 3PL Warehousing	4.2	70 Reviews	Logistics | 501-1k Employees | 37 years old | Bengaluru +21 more	338 Salaries	4 Interviews	-- Jobs
49	World Health Partners	4.5	70 Reviews	Non-Profit | 10k-50k Employees | 15 years old | New Delhi +11 more	169 Salaries	-- Interviews	-- Jobs
50	BAN LABS	3.2	70 Reviews	Healthcare | 1k-5k Employees | 57 years old | Rajkot +22 more	266 Salaries	1 Interviews	2 Jobs
51	Suzlon Infrastructure Services	4.0	70 Reviews	Power | 5k-10k Employees (Global) | Public | 28 years old | Pune +18 more	192 Salaries	1 Interviews	-- Jobs
52	Champ Info Software	3.3	70 Reviews	IT Services & Consulting | 51-200 Employees | 12 years old | Noida  +4 more	398 Salaries	4 Interviews	-- Jobs
53	ICAT	3.1	70 Reviews	Education & Training | 201-500 Employees | 19 years old | Chennai +4 more	381 Salaries	5 Interviews	9 Jobs
